OriginalID,Study,FlightID,Origin,Destination,Fleet,Carrier,Departure Time,Arrival Time,Ref Ellipsoid,SW Corner,NE Corner,Simulation Start-Time
309,NATselB_2019,44435,BOS,ZRH,343,LX,96300,122160,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
310,NATselB_2019,44493,JFK,VIE,76W,OS,81300,110940,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
311,NATselB_2019,4449,IAD,CDG,777,UA,80460,106140,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
312,NATselB_2019,44768,YUL,KEF,75W,FI,90600,107160,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
313,NATselB_2019,44786,EWR,KEF,75W,FI,91500,110040,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
315,NATselB_2019,45384,YUL,CDG,332,TS,93300,117180,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
317,NATselB_2019,45816,YYZ,BRU,333,SN,82800,108840,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
318,NATselB_2019,45826,JFK,BRU,333,SN,83700,109020,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
320,NATselB_2019,45921,JFK,MAD,772,AA,86100,110100,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
321,NATselB_2019,45939,DFW,MAD,772,AA,81900,114840,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
322,NATselB_2019,46040,IAD,BRU,332,SN,81600,108540,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
323,NATselB_2019,46182,DFW,MUC,788,AA,76200,111480,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
325,NATselB_2019,46290,EWR,VIE,76W,OS,81600,111360,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
326,NATselB_2019,46302,MIA,VIE,76W,OS,78300,114660,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
327,NATselB_2019,46602,PHL,KEF,75W,FI,91800,110880,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
328,NATselB_2019,46667,PHL,DUB,757,??,81300,104460,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
329,NATselB_2019,46668,BDL,DUB,757,??,83400,105180,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
330,NATselB_2019,46674,MSP,DUB,757,??,89100,115440,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
331,NATselB_2019,466,ATL,CDG,388,AF,90060,118860,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
332,NATselB_2019,4697,SFO,LHR,77W,UA,73500,108660,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
333,NATselB_2019,4755,JFK,ORY,772,AF,88560,112740,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
334,NATselB_2019,5239,YYZ,MAD,789,AC,83400,108540,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
336,NATselB_2019,5487,YVR,FRA,789,AC,77100,110340,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
337,NATselB_2019,559,MIA,FRA,388,LH,78900,110520,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
338,NATselB_2019,5673,YUL,FRA,789,AC,86760,111000,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
339,NATselB_2019,5797,YYZ,MUC,789,AC,81900,109380,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
340,NATselB_2019,5828,YYZ,VIE,789,AC,84300,113040,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
342,NATselB_2019,6184,DTW,AMS,333,DL,83700,110880,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
343,NATselB_2019,6525,DTW,AMS,333,DL,92220,119400,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
344,NATselB_2019,652,IAH,FRA,388,LH,78900,113160,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
345,NATselB_2019,6556,MSP,AMS,333,DL,83220,111960,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
347,NATselB_2019,6618,ATL,FCO,333,DL,86880,121500,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
348,NATselB_2019,6680,ATL,AMS,333,DL,90420,120780,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
349,NATselB_2019,6711,ATL,FCO,333,DL,75960,110580,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
350,NATselB_2019,6742,JFK,AMS,333,DL,88920,114120,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
351,NATselB_2019,6990,JFK,ATH,333,DL,79860,113880,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
352,NATselB_2019,7145,JFK,FCO,333,DL,84900,114360,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
353,NATselB_2019,7176,JFK,ATH,333,DL,88200,122220,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
354,NATselB_2019,7238,JFK,MXP,333,DL,81900,109500,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
356,NATselB_2019,7300,JFK,BCN,333,DL,92160,118620,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
357,NATselB_2019,7486,YYC,AMS,333,KL,79800,110580,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
358,NATselB_2019,7610,CLT,FCO,333,AA,84300,117420,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
360,NATselB_2019,7734,PHL,FCO,333,AA,84900,115020,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
361,NATselB_2019,7796,JFK,HEL,333,AY,86760,115080,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
362,NATselB_2019,8601,YYZ,LHR,77W,AC,92400,115980,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
363,NATselB_2019,9059,ORD,DUB,330,EI,78600,104040,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
364,NATselB_2019,9117,YUL,FRA,343,CL,82500,107700,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
